Authors,Authors (Full Names),Beginning Page,DOI,ISSN,Journal Title (Full),New ISI Keywords,Original Keywords,Publication Year,Research Field,Times Cited,Title,Unique ID,Version Number,Volume,PM,File Name,Cite Me As
"Fedorenko, E|Nieto-Castanon, A|Kanwisher, N","Fedorenko, Evelina|Nieto-Castanon, Alfonso|Kanwisher, Nancy",187,10.1016/j.bandl.2011.01.001,0093-934X,BRAIN AND LANGUAGE,AUDITORY SENTENCE COMPREHENSION |INFERIOR PREFRONTAL CORTEX |ANTERIOR TEMPORAL CORTEX |TRANSCRANIAL MAGNETIC STIMULATION |EVENT-RELATED FMRI |WORD-LIKE STIMULI |BROCAS AREA |FRONTAL-CORTEX |INTERSUBJECT VARIABILITY |CORTICAL AREAS,Syntactic processing|Functional specificity|Functional localization|Functional regions of interest|Anatomical variability|fMRI,2012,"Audiology & Speech-Language Pathology|Linguistics|Neurosciences|Psychology, Experimental",10,"Syntactic processing in the human brain: What we know, what we don't know, and a suggestion for how to proceed",WOS:000300478600009,1,120,21334056,D:\Users\mginda\Desktop\savedrecs(10).txt,"Fedorenko E, 2012, V120, P187, DOI 10.1016/j.bandl.2011.01.001"
"Van Horne, AJO","Van Horne, Amanda J. Owen",270,10.1177/0142723710397108,0142-7237,FIRST LANGUAGE,SYNTACTIC CATEGORIES |CHILDRENS PRODUCTION |YOUNG-CHILDREN |PAST-TENSE |SPEECH |ACQUISITION |FREQUENCY |ENGLISH |IMPAIRMENT |DETERMINER,cognitive science|computational modeling|interfaces|language acquisition|linguistics|modularity,2012,"Psychology, Developmental|Linguistics|Language & Linguistics",0,Overcoming language barriers: Interfaces between disciplines,WOS:000208862800012,1,32,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Van Horne AJO, 2012, V32, P270, DOI 10.1177/0142723710397108"
"Pastra, K|Aloimonos, Y","Pastra, Katerina|Aloimonos, Yiannis",103,10.1098/rstb.2011.0123,0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MUSCLE SYNERGIES |MANUAL TRACKING |MOTOR BEHAVIORS |BROCAS AREA |LANGUAGE |PRIMITIVES |MOVEMENT |CONSTRUCTION |EVOLUTION |FACULTY,generative grammar of action|tool use|action syntax|action decomposition|temporal sequence|minimalist grammar,2012,Biology,18,The minimalist grammar of action,WOS:000297314500010,1,367,22106430,D:\Users\mginda\Desktop\savedrecs(10).txt,"Pastra K, 2012, V367, P103, DOI 10.1098/rstb.2011.0123"
"Schalley, AC","Schalley, Andrea C.",129,,1387-6724,PRACTICAL THEORIES AND EMPIRICAL PRACTICE: A LINGUISTIC PERSPECTIVE,CATEGORIES,e-research|ontology|social cognition|typology|TYTO,2012,"Linguistics|Psychology, Experimental",1,"Many languages, one knowledge base Introducing a collaborative ontolinguistic research tool",WOS:000327028600007,1,40,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Schalley AC, 2012, V40, P129"
"Zafar, NA|Khan, SA|Alhumaidan, F|Kamran, B","Zafar, Nazir Ahmad|Khan, Sher Afzal|Alhumaidan, Fahad|Kamran, Bushra",988,,1097-8135,LIFE SCIENCE JOURNAL-ACTA ZHENGZHOU UNIVERSITY OVERSEAS EDITION,,Integration of approaches|Context free languages|Formal specification Z|Model checking,2012,Biology,0,Formal Modeling towards the Context Free Grammar,WOS:000316682500150,1,9,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Zafar NA, 2012, V9, P988"
"Kolesnikova, O|Gelbukh, A","Kolesnikova, Olga|Gelbukh, Alexander",44,10.4067/S0718-09342012000100003,0718-0934,REVISTA SIGNOS,,Collocations|lexical functions|machine learning,2012,Linguistics|Language & Linguistics,1,Semantic relations between collocations: A Spanish case study,WOS:000318912400003,1,45,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Kolesnikova O, 2012, V45, P44, DOI 10.4067/S0718-09342012000100003"
"Penn, G","Penn, Gerald",143,,1878-9846,PHILOSOPHY OF LINGUISTICS,NATURAL-LANGUAGE |ENTROPY,,2012,History & Philosophy Of Science|Linguistics,0,COMPUTATIONAL LINGUISTICS,WOS:000316461100007,1,,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Penn G, 2012, P143"
"Haselager, P","Haselager, Pim",263,10.1075/pc.20.2.04has,0929-0907,PRAGMATICS & COGNITION,LANGUAGE EVOLUTION |SYSTEMATICITY |CONNECTIONIST |SPEECH |BRAIN,dialect formation|embodied embedded cognition|embodied meaning|joint attention|language|recipient design|systematicity,2012,Linguistics|Language & Linguistics,0,Like the breathability of air Embodied embedded communication,WOS:000315634300003,1,20,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Haselager P, 2012, V20, P263, DOI 10.1075/pc.20.2.04has"
"Donohue, M|Denham, T|Oppenheimer, S","Donohue, Mark|Denham, Tim|Oppenheimer, Stephen",505,10.1075/dia.29.4.04don,0176-4225,DIACHRONICA,LANGUAGE |EXPLORATIONS |EXPANSION |SUPPORT,computational methods|historical linguistics|Polynesian|Austronesian|areality|lexical borrowing,2012,Linguistics|Language & Linguistics,1,New methodologies for historical linguistics? Calibrating a lexicon-based methodology for diffusion vs. subgrouping,WOS:000312669200004,1,29,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Donohue M, 2012, V29, P505, DOI 10.1075/dia.29.4.04don"
"Pretorius, R|Berg, A|Pretorius, L","Pretorius, Rigardt|Berg, Ansu|Pretorius, Laurette",203,10.2989/16073614.2012.737598,1607-3614,SOUTHERN AFRICAN LINGUISTICS AND APPLIED LANGUAGE STUDIES,,,2012,Linguistics|Language & Linguistics,2,Multiple object agreement morphemes in Setswana: A computational approach,WOS:000311697400006,1,30,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Pretorius R, 2012, V30, P203, DOI 10.2989/16073614.2012.737598"
"van Kesteren, R|Dijkstra, T|de Smedt, K","van Kesteren, Ron|Dijkstra, Ton|de Smedt, Koenraad",2129,10.1080/17470218.2012.679946,1747-0218,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,VISUAL WORD RECOGNITION |LEXICAL DECISION |INTERLINGUAL HOMOGRAPHS |PERCEPTION |MODEL |FREQUENCY |NONWORDS,Bilingual word recognition|Language membership|Language cues|Marker effects|Decision bias|Sublexical,2012,"Psychology, Biological|Physiology|Psychology|Psychology, Experimental",6,Markedness effects in Norwegian-English bilinguals: Task-dependent use of language-specific letters and bigrams,WOS:000310135300004,1,65,22554207,D:\Users\mginda\Desktop\savedrecs(10).txt,"van Kesteren R, 2012, V65, P2129, DOI 10.1080/17470218.2012.679946"
"Muncer, SJ|Knight, DC","Muncer, Steven J.|Knight, David C.",2221,10.1080/17470218.2012.697176,1747-0218,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,VISUAL WORD RECOGNITION |ORTHOGRAPHIC REDUNDANCY |READING ALOUD |FREQUENCY |UNITS |PROJECT |MODEL |TOKEN,Syllable|Bigram trough|Lexical decision,2012,"Psychology, Biological|Physiology|Psychology|Psychology, Experimental",7,The bigram trough hypothesis and the syllable number effect in lexical decision,WOS:000310135300008,1,65,22804754,D:\Users\mginda\Desktop\savedrecs(10).txt,"Muncer SJ, 2012, V65, P2221, DOI 10.1080/17470218.2012.697176"
"Dunbar, G","Dunbar, George",507,10.1515/cog-2012-0015,0936-5907,COGNITIVE LINGUISTICS,REPERTORY GRID TECHNIQUE |RECOGNITION |IDENTIFICATION |REPRESENTATIONS |CATEGORIZATION |SIMILARITY |AMBIGUITY |DYNAMICS |CODES,ambiguity|vagueness|polysemy|Adaptive Resonance Theory|gradable categories|usage-based analysis|computational model|computational lexicography and lexicology,2012,Linguistics|Language & Linguistics,1,Adaptive Resonance Theory as a model of polysemy and vagueness in the cognitive lexicon,WOS:000309099100001,1,23,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Dunbar G, 2012, V23, P507, DOI 10.1515/cog-2012-0015"
"Poeppel, D","Poeppel, David",34,10.1080/02643294.2012.710600,0264-3294,COGNITIVE NEUROPSYCHOLOGY,AUDITORY-CORTEX |VISUAL-CORTEX |FUNCTIONAL-ANATOMY |BROCAS AREA |PERCEPTION |BRAIN |SENSITIVITY |INFANTS |REPRESENTATIONS |ORGANIZATION,Localization|Computation|Cognitive neuroscience|Linking hypothesis,2012,"Psychology|Psychology, Experimental",18,The maps problem and the mapping problem: Two challenges for a cognitive neuroscience of speech and language,WOS:000309267100003,1,29,23017085,D:\Users\mginda\Desktop\savedrecs(10).txt,"Poeppel D, 2012, V29, P34, DOI 10.1080/02643294.2012.710600"
"Dominguez, L|Hicks, G|Song, HJ","Dominguez, Laura|Hicks, Glyn|Song, Hee-Jeong",266,10.1080/10489223.2012.712827,1048-9223,LANGUAGE ACQUISITION,LONG-DISTANCE REFLEXIVES |2ND-LANGUAGE ACQUISITION |UNIVERSAL GRAMMAR |PARAMETERS |MOVEMENT |LANGUAGE |ENGLISH,,2012,Linguistics|Language & Linguistics,1,Untangling Locality and Orientation Constraints in the L2 Acquisition of Anaphoric Binding: A Feature-Based Approach,WOS:000308983700001,1,19,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Dominguez L, 2012, V19, P266, DOI 10.1080/10489223.2012.712827"
"Chen, XX","Chen, Xiaoxin",611,10.1108/03684921211243275,0368-492X,KYBERNETES,EVIDENTIAL REASONING APPROACH |UNCERTAINTY,Grey systems theory|Interval grey number|Linguistic assessment|Evidential reasoning|Decision making|Systems theory,2012,"Computer Science, Cybernetics",1,Hybrid grey multiple attribute decision-making method with partial weight information,WOS:000308840600009,1,41,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Chen XX, 2012, V41, P611, DOI 10.1108/03684921211243275"
"Tamburelli, M|Jones, G|Gobet, F|Pine, JM","Tamburelli, Marco|Jones, Gary|Gobet, Fernand|Pine, Julian M.",901,10.1080/01690965.2011.583510,0169-0965,LANGUAGE AND COGNITIVE PROCESSES,SHORT-TERM-MEMORY |NONWORD REPETITION |LANGUAGE IMPAIRMENT |WORKING-MEMORY |CONSONANT CLUSTERS |RECEPTIVE VOCABULARY |CHILDREN |ENGLISH |WORDLIKENESS |CAPACITY,Nonword repetition|Computational modelling|Syllabic position|Onset|Coda,2012,"Linguistics|Psychology, Experimental",2,Computational modelling of phonological acquisition: Simulating error patterns in nonword repetition tasks,WOS:000305760900007,1,27,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Tamburelli M, 2012, V27, P901, DOI 10.1080/01690965.2011.583510"
"Son, JW|Park, SB","Son, Jeong-Woo|Park, Seong-Bae",216,,1748-5673,INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS,,distribution difference|SVM|support vector machine|covariate shift|WSD|word sense disambiguation|robustness|data mining|bioinformatics,2012,Mathematical & Computational Biology,0,Learning Word Sense Disambiguation in biomedical text with difference between training and test distributions,WOS:000305370900007,1,6,22724299,D:\Users\mginda\Desktop\savedrecs(10).txt,"Son JW, 2012, V6, P216"
"van den Boer, M|de Jong, PF|Haentjens-van Meeteren, MM","van den Boer, Madelon|de Jong, Peter F.|Haentjens-van Meeteren, Marleen M.",1214,10.1080/17470218.2011.652136,1747-0218,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,VISUAL WORD RECOGNITION |ORTHOGRAPHIC NEIGHBORHOOD |ARTICULATORY SUPPRESSION |DEVELOPMENTAL DYSLEXIA |DIFFERENT LANGUAGES |READING ALOUD |LENGTH |READERS |MODEL |SIMILARITY,Reading development|Lexical decision|Sublexical processing|Word length effect|Neighbourhood size,2012,"Psychology, Biological|Physiology|Psychology|Psychology, Experimental",6,Lexical decision in children: Sublexical processing or lexical search?,WOS:000305536900016,1,65,22489669,D:\Users\mginda\Desktop\savedrecs(10).txt,"van den Boer M, 2012, V65, P1214, DOI 10.1080/17470218.2011.652136"
"Outeiral, SMR|Acuna-Farina, JC","Riveiro Outeiral, Sara Maria|Carlos Acuna-Farina, Juan",58,10.1075/fol.19.1.03riv,0929-998X,FUNCTIONS OF LANGUAGE,SUBJECT-VERB AGREEMENT |SENTENCE PRODUCTION |NUMBER |SYNTAX |RESOLUTION |ATTRACTION |HIERARCHY |INTERPLAY |CONCORD |SPEECH,,2012,Linguistics|Language & Linguistics,1,Agreement processes in English and Spanish A completion study,WOS:000302846000006,1,19,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Outeiral SMR, 2012, V19, P58, DOI 10.1075/fol.19.1.03riv"
"de Marneffe, MC|Grimm, S|Arnon, I|Kirby, S|Bresnan, J","de Marneffe, Marie-Catherine|Grimm, Scott|Arnon, Inbal|Kirby, Susannah|Bresnan, Joan",25,10.1080/01690965.2010.542651,0169-0965,LANGUAGE AND COGNITIVE PROCESSES,LANGUAGE PRODUCTION |YOUNG-CHILDREN |OBJECT CONSTRUCTION |4-YEAR-OLD CHILDREN |ENGLISH |ACQUISITION |CONSTRAINTS |DISCOURSE |REPRESENTATIONS |ANIMACY,Language acquisition|Language production|Dative alternation|Multi-variable models,2012,"Linguistics|Psychology, Experimental",9,A statistical model of the grammatical choices in child production of dative sentences,WOS:000302402000002,1,27,,D:\Users\mginda\Desktop\savedrecs(10).txt,"de Marneffe MC, 2012, V27, P25, DOI 10.1080/01690965.2010.542651"
"Pelteret, JPV|Reddy, BD","Pelteret, J-P V.|Reddy, B. D.",111,10.1002/cnm.1487,2040-7939,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,FINITE-ELEMENT MODEL |HUMAN TONGUE |MECHANICAL-PROPERTIES |BIOMECHANICAL MODEL |SPEECH PRODUCTION |SKELETAL-MUSCLES |SLEEP-APNEA |COMPRESSION |DEFORMATION |MUSCULATURE,human upper airway|tongue|muscle model|neural control model|genetic algorithm|finite element method,2012,"Engineering, Biomedical|Mathematical & Computational Biology|Mathematics, Interdisciplinary Applications",5,Computational model of soft tissues in the human upper airway,WOS:000299468200008,1,28,25830209,D:\Users\mginda\Desktop\savedrecs(10).txt,"Pelteret JPV, 2012, V28, P111, DOI 10.1002/cnm.1487"
"Levy, R|Fedorenko, E|Breen, M|Gibson, E","Levy, Roger|Fedorenko, Evelina|Breen, Mara|Gibson, Edward",12,10.1016/j.cognition.2011.07.012,0010-0277,COGNITION,SENTENCE COMPREHENSION |BRAIN POTENTIALS |EYE-MOVEMENTS |COMPLEXITY |CONTEXT |DEPENDENCIES |LANGUAGE |MODEL |CROSS |RECOGNITION,Sentence comprehension|Syntactic complexity|Parsing|Word order|Memory and language|Self-paced reading|Frequency|Prediction,2012,"Psychology, Experimental",12,The processing of extraposed structures in English,WOS:000298199500002,1,122,22035959,D:\Users\mginda\Desktop\savedrecs(10).txt,"Levy R, 2012, V122, P12, DOI 10.1016/j.cognition.2011.07.012"
"Crossley, SA|Allen, D|McNamara, DS","Crossley, Scott A.|Allen, David|McNamara, Danielle S.",89,10.1177/1362168811423456,1362-1688,LANGUAGE TEACHING RESEARCH,LANGUAGE,text simplification|intuitive simplification|corpus linguistics|computational linguistics|text comprehensibility,2012,Education & Educational Research|Linguistics,6,Text simplification and comprehensible input: A case for an intuitive approach,WOS:000299057600005,1,16,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Crossley SA, 2012, V16, P89, DOI 10.1177/1362168811423456"
"Leech, G|Smith, N|Rayson, P","Leech, Geoffrey|Smith, Nicholas|Rayson, Paul",69,,0921-5034,ENGLISH CORPUS LINGUISTICS: CROSSING PATHS,,,2012,Linguistics|Language & Linguistics,0,English style on the move: variation and change in stylistic norms in the twentieth century,WOS:000363492000005,1,,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Leech G, 2012, P69"
"Traugott, EC","Traugott, Elizabeth Closs",221,,0921-5034,ENGLISH CORPUS LINGUISTICS: CROSSING PATHS,GRAMMATICALIZATION,,2012,Linguistics|Language & Linguistics,0,The status of onset contexts in analysis of micro-changes,WOS:000363492000011,1,,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Traugott EC, 2012, P221"
"Huang, PY|Wible, D|Ko, HW","Huang, Ping-Yu|Wible, David|Ko, Hwa-Wei",145,,1861-4302,FREQUENCY EFFECTS IN LANGUAGE LEARNING AND PROCESSING,EYE-MOVEMENTS |INFANTS SENSITIVITY |NATIVE LANGUAGE |INFORMATION |COMPUTATION |CONSTRAINTS |PERCEPTION |PATTERNS |WORDS,,2012,Language & Linguistics,0,Frequency Effects and Transitional Probabilities in L1 and L2 Speakers' Processing of Multiword Expressions,WOS:000352568200007,1,244,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Huang PY, 2012, V244, P145"
"Lee, S|Hasegawa, T","Lee, Sean|Hasegawa, Toshikazu",3662,10.1098/rspb.2011.0518,0962-8452,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,EVOLUTION |JAPANESE |HISTORY,linguistic evolution|phylogenetics|Japonic languages,2011,Biology|Ecology|Evolutionary Biology,13,Bayesian phylogenetic analysis supports an agricultural origin of Japonic languages,WOS:000296874600006,1,278,21543358,D:\Users\mginda\Desktop\savedrecs(10).txt,"Lee S, 2011, V278, P3662, DOI 10.1098/rspb.2011.0518"
"Assaneo, MF|Nichols, JI|Trevisan, MA","Florencia Assaneo, Maria|Ignacio Nichols, Juan|Alberto Trevisan, Marcos",,10.1371/journal.pone.0028317,1932-6203,PLOS ONE,PERCEPTION |LANGUAGE |SOUND |VOWELS,,2011,Multidisciplinary Sciences,4,The Anatomy of Onomatopoeia,WOS:000298369100030,1,6,22194825,D:\Users\mginda\Desktop\savedrecs(10).txt,"Assaneo MF, 2011, V6, DOI 10.1371/journal.pone.0028317"
"Popovic, M|Ney, H","Popovic, Maja|Ney, Hermann",657,,0891-2017,COMPUTATIONAL LINGUISTICS,,,2011,"Computer Science, Artificial Intelligence|Computer Science, Interdisciplinary Applications|Linguistics|Language & Linguistics",6,Towards Automatic Error Analysis of Machine Translation Output,WOS:000298118200002,1,37,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Popovic M, 2011, V37, P657"
"Zhang, QF|Zhu, XB","Zhang, Qingfang|Zhu, Xuebing",3813,10.1016/j.neuropsychologia.2011.09.040,0028-3932,NEUROPSYCHOLOGIA,TIME-COURSE |SPEECH PRODUCTION |ELECTROPHYSIOLOGICAL EVIDENCE |ELECTROMAGNETIC TOMOGRAPHY |LANGUAGE PRODUCTION |SYLLABLES CHUNKS |APHASIC PATIENT |INDIVIDUAL MRI |HUMAN BRAIN |CHINESE,Speech production|Phonological encoding|Go/nogo task|N200,2011,"Behavioral Sciences|Neurosciences|Psychology, Experimental",2,The temporal and spatial features of segmental and suprasegmental encoding during implicit picture naming: An event-related potential study,WOS:000298527700003,1,49,21986294,D:\Users\mginda\Desktop\savedrecs(10).txt,"Zhang QF, 2011, V49, P3813, DOI 10.1016/j.neuropsychologia.2011.09.040"
"Steels, L","Steels, Luc",339,10.1016/j.plrev.2011.10.014,1571-0645,PHYSICS OF LIFE REVIEWS,COMMUNICATION-SYSTEMS |UNIVERSAL GRAMMAR |SOCIAL DYNAMICS |NAMING GAME |EMERGENCE |SPEECH |GENES |PROTOLANGUAGE |LINGUISTICS |POPULATION,Language evolution|Cultural evolution|Evolutionary linguistics|Biolinguistics|Semiotic dynamics,2011,Biology|Biophysics,38,Modeling the cultural evolution of language,WOS:000298457400001,1,8,22071322,D:\Users\mginda\Desktop\savedrecs(10).txt,"Steels L, 2011, V8, P339, DOI 10.1016/j.plrev.2011.10.014"
"Fitch, WT","Fitch, W. Tecumseh",357,10.1016/j.plrev.2011.10.020,1571-0645,PHYSICS OF LIFE REVIEWS,,,2011,Biology|Biophysics,0,"Biological versus cultural evolution: Beyond a false dichotomy Comment on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400002,1,8,22078713,D:\Users\mginda\Desktop\savedrecs(10).txt,"Fitch WT, 2011, V8, P357, DOI 10.1016/j.plrev.2011.10.020"
"Croft, W","Croft, William",359,10.1016/j.plrev.2011.10.018,1571-0645,PHYSICS OF LIFE REVIEWS,,,2011,Biology|Biophysics,1,"Social factors in the cultural evolution of language Comment on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400003,1,8,22036066,D:\Users\mginda\Desktop\savedrecs(10).txt,"Croft W, 2011, V8, P359, DOI 10.1016/j.plrev.2011.10.018"
"de Boer, B","de Boer, Bart",361,10.1016/j.plrev.2011.10.015,1571-0645,PHYSICS OF LIFE REVIEWS,SELF-ORGANIZATION,,2011,Biology|Biophysics,1,"Modeling evolution of speech Comment on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400004,1,8,22056394,D:\Users\mginda\Desktop\savedrecs(10).txt,"de Boer B, 2011, V8, P361, DOI 10.1016/j.plrev.2011.10.015"
"Galantucci, B","Galantucci, Bruno",363,10.1016/j.plrev.2011.10.013,1571-0645,PHYSICS OF LIFE REVIEWS,EXPERIMENTAL SEMIOTICS |COMMUNICATION-SYSTEMS |EMERGENCE |CATEGORIES |ORIGIN,,2011,Biology|Biophysics,1,"The cultural approach to language is ripe, let us expand our options to test it empirically Commentary on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400005,1,8,22035773,D:\Users\mginda\Desktop\savedrecs(10).txt,"Galantucci B, 2011, V8, P363, DOI 10.1016/j.plrev.2011.10.013"
"Hashimoto, T|Konno, T","Hashimoto, Takashi|Konno, Takeshi",365,10.1016/j.plrev.2011.10.012,1571-0645,PHYSICS OF LIFE REVIEWS,,,2011,Biology|Biophysics,1,"Language origin from simulation of language evolution Comment on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400006,1,8,22036702,D:\Users\mginda\Desktop\savedrecs(10).txt,"Hashimoto T, 2011, V8, P365, DOI 10.1016/j.plrev.2011.10.012"
"Mufwene, SS","Mufwene, Salikoko S.",367,10.1016/j.plrev.2011.10.011,1571-0645,PHYSICS OF LIFE REVIEWS,,,2011,Biology|Biophysics,1,"An ecological account of language evolution! Way to go! Commentary on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400007,1,8,22036701,D:\Users\mginda\Desktop\savedrecs(10).txt,"Mufwene SS, 2011, V8, P367, DOI 10.1016/j.plrev.2011.10.011"
"Dessalles, JL","Dessalles, Jean-Louis",369,10.1016/j.plrev.2011.10.010,1571-0645,PHYSICS OF LIFE REVIEWS,,,2011,Biology|Biophysics,1,"The real mystery about language Comment on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400008,1,8,22035770,D:\Users\mginda\Desktop\savedrecs(10).txt,"Dessalles JL, 2011, V8, P369, DOI 10.1016/j.plrev.2011.10.010"
"Loreto, V|Tria, F","Loreto, Vittorio|Tria, Francesca",371,10.1016/j.plrev.2011.10.009,1571-0645,PHYSICS OF LIFE REVIEWS,,,2011,Biology|Biophysics,1,"In Silico Linguistics Comment on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400009,1,8,22036703,D:\Users\mginda\Desktop\savedrecs(10).txt,"Loreto V, 2011, V8, P371, DOI 10.1016/j.plrev.2011.10.009"
"Gong, T","Gong, Tao",373,10.1016/j.plrev.2011.10.008,1571-0645,PHYSICS OF LIFE REVIEWS,BRAIN,Evolutionary linguists|Biolinguists|Computer simulation,2011,Biology|Biophysics,1,"Where could biolinguists and evolutionary linguists meet? Comment on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400010,1,8,22035771,D:\Users\mginda\Desktop\savedrecs(10).txt,"Gong T, 2011, V8, P373, DOI 10.1016/j.plrev.2011.10.008"
"Perlovsky, L","Perlovsky, Leonid",375,10.1016/j.plrev.2011.10.006,1571-0645,PHYSICS OF LIFE REVIEWS,,,2011,Biology|Biophysics,3,"Abstract concepts in language and cognition Commentary on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400011,1,8,22036068,D:\Users\mginda\Desktop\savedrecs(10).txt,"Perlovsky L, 2011, V8, P375, DOI 10.1016/j.plrev.2011.10.006"
"Baronchelli, A","Baronchelli, Andrea",377,10.1016/j.plrev.2011.10.005,1571-0645,PHYSICS OF LIFE REVIEWS,EMERGENCE,,2011,Biology|Biophysics,1,"The maturity of modeling A comment on ""Modeling the Cultural Evolution of Language"" by Luc Steels",WOS:000298457400012,1,8,22056279,D:\Users\mginda\Desktop\savedrecs(10).txt,"Baronchelli A, 2011, V8, P377, DOI 10.1016/j.plrev.2011.10.005"
"Cangelosi, A","Cangelosi, Angelo",379,10.1016/j.plrev.2011.10.004,1571-0645,PHYSICS OF LIFE REVIEWS,,Language|Compositionality|Embodiment|Baldwin effect,2011,Biology|Biophysics,1,"Embodied compositionality Comment on ""Modeling the cultural evolution of language"" by Luc Steels",WOS:000298457400013,1,8,22056395,D:\Users\mginda\Desktop\savedrecs(10).txt,"Cangelosi A, 2011, V8, P379, DOI 10.1016/j.plrev.2011.10.004"
"Diessel, H","Diessel, Holger",381,10.1016/j.plrev.2011.10.003,1571-0645,PHYSICS OF LIFE REVIEWS,,,2011,Biology|Biophysics,1,Social and cognitive processes influencing grammar evolution Comment on 'Modelling the cultural evolution of language' by Luc Steels,WOS:000298457400014,1,8,22036700,D:\Users\mginda\Desktop\savedrecs(10).txt,"Diessel H, 2011, V8, P381, DOI 10.1016/j.plrev.2011.10.003"
"Perlovsky, L","Perlovsky, Leonid",408,10.1016/j.plrev.2011.10.007,1571-0645,PHYSICS OF LIFE REVIEWS,MUSIC |SCIENCE,,2011,Biology|Biophysics,2,"""High"" cognitive emotions in language prosody Commentary on ""Emotional voices in context: A neurobiological model of multimodal affective information processing"" by C. Bruck B. Kreifelts, & D. Wildgruber",WOS:000298457400018,1,8,22018625,D:\Users\mginda\Desktop\savedrecs(10).txt,"Perlovsky L, 2011, V8, P408, DOI 10.1016/j.plrev.2011.10.007"
"Deng, WB|Wang, DJ|Li, W|Wang, QA","Deng WeiBing|Wang DuJuan|Li Wei|Wang, Qiuping Alexandre",3717,10.1007/s11434-011-4752-0,1001-6538,CHINESE SCIENCE BULLETIN,COMPLEX NETWORKS |TEXT,language time series|self-similarity|Hurst exponent|long range correlation|intermittency,2011,Multidisciplinary Sciences,1,English and Chinese language frequency time series analysis,WOS:000297724700020,1,56,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Deng WB, 2011, V56, P3717, DOI 10.1007/s11434-011-4752-0"
"Poeppel, D","Poeppel, David",381,10.1007/s11689-011-9097-0,1866-1947,JOURNAL OF NEURODEVELOPMENTAL DISORDERS,FUNCTIONAL-ANATOMY |SPEECH-PERCEPTION,Evolution|Functional anatomy|Neural circuit|Linguistics,2011,Clinical Neurology|Neurosciences,5,Genetics and language: a neurobiological perspective on the missing link (-ing hypotheses),WOS:000297794000010,1,3,22052160,D:\Users\mginda\Desktop\savedrecs(10).txt,"Poeppel D, 2011, V3, P381, DOI 10.1007/s11689-011-9097-0"
"Crossley, SA|McNamara, DS","Crossley, Scott A.|McNamara, Danielle S.",271,10.1016/j.jslw.2011.05.007,1060-3743,JOURNAL OF SECOND LANGUAGE WRITING,WORKING-MEMORY |LANGUAGE |FREQUENCY |IMAGES,Computational linguistics|Corpus linguistics|L2 writing|Working memory|Second language writing|Intergroup homogeneity,2011,Linguistics,4,Shared features of L2 writing: Intergroup homogeneity and text classification,WOS:000296926400003,1,20,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Crossley SA, 2011, V20, P271, DOI 10.1016/j.jslw.2011.05.007"
