Authors,Authors (Full Names),Beginning Page,DOI,ISSN,Journal Title (Full),New ISI Keywords,Original Keywords,Publication Year,Research Field,Times Cited,Title,Unique ID,Version Number,Volume,PM,File Name,Cite Me As
"Perry, C|Ziegler, JC|Zorzi, M","Perry, Conrad|Ziegler, Johannes C.|Zorzi, Marco",800,10.1111/cogs.12030,0364-0213,COGNITIVE SCIENCE,VISUAL WORD RECOGNITION |ENGLISH ORTHOGRAPHY |ACQUIRED DYSGRAPHIA |LEXICAL STRESS |ITEM-LEVEL |MODEL |ALOUD |SOUND |ACQUISITION |UNITS,Reading|Computational modeling|Graphemes|Connectionism|Orthography,2013,"Psychology, Experimental",9,A Computational and Empirical Investigation of Graphemes in Reading,WOS:000321211500002,1,37,23489148,D:\Users\mginda\Desktop\savedrecs(10).txt,"Perry C, 2013, V37, P800, DOI 10.1111/cogs.12030"
"Hale, J|Reitter, D","Hale, John T.|Reitter, David",388,10.1111/tops.12038,1756-8757,TOPICS IN COGNITIVE SCIENCE,,,2013,"Psychology, Experimental",0,Introduction to the Issue on Computational Models of Natural Language,WOS:000321698600002,1,5,23785000,D:\Users\mginda\Desktop\savedrecs(10).txt,"Hale J, 2013, V5, P388, DOI 10.1111/tops.12038"
"Culbertson, J|Smolensky, P|Wilson, C","Culbertson, Jennifer|Smolensky, Paul|Wilson, Colin",392,10.1111/tops.12027,1756-8757,TOPICS IN COGNITIVE SCIENCE,WORD-ORDER UNIVERSAL |LANGUAGE |MODEL |FREQUENCY |MOVEMENT,Bayesian modeling|Optimality theory|Learning biases|Artificial language learning|Typology|Word order,2013,"Psychology, Experimental",4,"Cognitive Biases, Linguistic Universals, and Constraint-Based Grammar Learning",WOS:000321698600003,1,5,23703887,D:\Users\mginda\Desktop\savedrecs(10).txt,"Culbertson J, 2013, V5, P392, DOI 10.1111/tops.12027"
"van Rij, J|van Rijn, H|Hendriks, P","van Rij, Jacolien|van Rijn, Hedderik|Hendriks, Petra",564,10.1111/tops.12029,1756-8757,TOPICS IN COGNITIVE SCIENCE,WORKING-MEMORY |INDIVIDUAL-DIFFERENCES |RESOLUTION |COMPREHENSION,Working memory load|Language processing|Cognitive modeling|Pronouns,2013,"Psychology, Experimental",4,How WM Load Influences Linguistic Processing in Adults: A Computational Model of Pronoun Interpretation in Discourse,WOS:000321698600010,1,5,23757182,D:\Users\mginda\Desktop\savedrecs(10).txt,"van Rij J, 2013, V5, P564, DOI 10.1111/tops.12029"
"Bright, JA|Curran, JM|Buckleton, JS","Bright, Jo-Anne|Curran, James M.|Buckleton, John S.",422,10.1016/j.fsigen.2013.04.008,1872-4973,FORENSIC SCIENCE INTERNATIONAL-GENETICS,DNA |MIXTURES,DNA interpretation|Stutter|Continuous models,2013,"Genetics & Heredity|Medicine, Legal",3,Investigation into the performance of different models for predicting stutter,WOS:000320668000008,1,7,23768314,D:\Users\mginda\Desktop\savedrecs(10).txt,"Bright JA, 2013, V7, P422, DOI 10.1016/j.fsigen.2013.04.008"
"Guo, L|Crossley, SA|McNamara, DS","Guo, Liang|Crossley, Scott A.|McNamara, Danielle S.",218,10.1016/j.asw.2013.05.002,1075-2935,ASSESSING WRITING,,Integrated writing tasks|Independent writing tasks|Computational linguistics|Writing assessment,2013,Education & Educational Research|Linguistics,3,Predicting human judgments of essay quality in both integrated and independent second language writing samples: A comparison study,WOS:000209245800004,1,18,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Guo L, 2013, V18, P218, DOI 10.1016/j.asw.2013.05.002"
"Marsden, J|Budden, D|Craig, H|Moscato, P","Marsden, John|Budden, David|Craig, Hugh|Moscato, Pablo",,10.1371/journal.pone.0066813,1932-6203,PLOS ONE,,,2013,Multidisciplinary Sciences,5,Language Individuation and Marker Words: Shakespeare and His Maxwell's Demon,WOS:000321150000012,1,8,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Marsden J, 2013, V8, DOI 10.1371/journal.pone.0066813"
"Crangle, CE|Perreau-Guimaraes, M|Suppes, P","Crangle, Colleen E.|Perreau-Guimaraes, Marcos|Suppes, Patrick",,10.1371/journal.pone.0065366,1932-6203,PLOS ONE,WAVE REPRESENTATIONS |CLASSIFICATION |RECOGNITION |INVARIANCE |COMPONENT |SENTENCES |ENGLISH |WORDS |NOUNS,,2013,Multidisciplinary Sciences,3,Structural Similarities between Brain and Linguistic Data Provide Evidence of Semantic Relations in the Brain,WOS:000320363300016,1,8,23799009,D:\Users\mginda\Desktop\savedrecs(10).txt,"Crangle CE, 2013, V8, DOI 10.1371/journal.pone.0065366"
"Zhang, MH|Gong, T","Zhang, Menghan|Gong, Tao",9698,10.1073/pnas.1303108110,0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,DYNAMICS |DEATH |BILINGUALISM |POPULATION |EXTINCTION |DIVERSITY,prestige|Fourier's law of heat conduction|Hardy-Weinberg genetic inheritance principle|logistic curve|lexical diffusion dynamics,2013,Multidisciplinary Sciences,9,Principles of parametric estimation in modeling language competition,WOS:000320930100035,1,110,23716678,D:\Users\mginda\Desktop\savedrecs(10).txt,"Zhang MH, 2013, V110, P9698, DOI 10.1073/pnas.1303108110"
"Brysbaert, M|Diependaele, K","Brysbaert, Marc|Diependaele, Kevin",422,10.3758/s13428-012-0270-5,1554-351X,BEHAVIOR RESEARCH METHODS,LEXICON PROJECT |ENGLISH,Word frequency|Laplace transformation|Good-Turing algorithm|Zero frequency,2013,"Psychology, Mathematical|Psychology, Experimental",5,Dealing with zero word frequencies: A review of the existing rules of thumb and a suggestion for an evidence-based choice,WOS:000319801500012,1,45,23055175,D:\Users\mginda\Desktop\savedrecs(10).txt,"Brysbaert M, 2013, V45, P422, DOI 10.3758/s13428-012-0270-5"
"Simpson, IC|Mousikou, P|Montoya, JM|Defior, S","Simpson, Ian C.|Mousikou, Petroula|Manuel Montoya, Juan|Defior, Sylvia",431,10.3758/s13428-012-0271-4,1554-351X,BEHAVIOR RESEARCH METHODS,CHILDREN |READERS |NAMES |TEXT,Letter visual-similarity/confusability matrix|Latin alphabets|Reading|Literacy acquisition,2013,"Psychology, Mathematical|Psychology, Experimental",0,A letter visual-similarity matrix for Latin-based alphabets,WOS:000319801500013,1,45,23055176,D:\Users\mginda\Desktop\savedrecs(10).txt,"Simpson IC, 2013, V45, P431, DOI 10.3758/s13428-012-0271-4"
"Graves, WW|Binder, JR|Seidenberg, MS","Graves, William W.|Binder, Jeffrey R.|Seidenberg, Mark S.",463,10.3758/s13428-012-0256-3,1554-351X,BEHAVIOR RESEARCH METHODS,CONCEPTUAL COMBINATION |IMAGEABILITY RATINGS |COMPREHENSION |LANGUAGE |RECOGNITION |ACQUISITION |CONCRETENESS |IMAGES |BRAIN |AGE,Conceptual combination|Lexical|Semantics|Ratings|Concepts,2013,"Psychology, Mathematical|Psychology, Experimental",1,"Noun-noun combination: Meaningfulness ratings and lexical statistics for 2,160 word pairs",WOS:000319801500015,1,45,23055162,D:\Users\mginda\Desktop\savedrecs(10).txt,"Graves WW, 2013, V45, P463, DOI 10.3758/s13428-012-0256-3"
"McNamara, DS|Crossley, SA|Roscoe, R","McNamara, Danielle S.|Crossley, Scott A.|Roscoe, Rod D.",499,10.3758/s13428-012-0258-1,1554-351X,BEHAVIOR RESEARCH METHODS,MRC PSYCHOLINGUISTIC DATABASE |LINGUISTIC FEATURES |COMPREHENSION |STUDENTS |MODEL,Intelligent tutoring systems|Natural language processing|Corpus linguistics|Computational linguistics|Writing pedagogy|Automated essay scoring,2013,"Psychology, Mathematical|Psychology, Experimental",9,Natural language processing in an intelligent writing strategy tutoring system,WOS:000319801500018,1,45,23055164,D:\Users\mginda\Desktop\savedrecs(10).txt,"McNamara DS, 2013, V45, P499, DOI 10.3758/s13428-012-0258-1"
"Vukovic, RK|Lesaux, NK","Vukovic, Rose K.|Lesaux, Nonie K.",227,10.1016/j.jecp.2013.02.002,0022-0965,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,INDIVIDUAL-DIFFERENCES |ARITHMETIC DEVELOPMENT |NUMBER |DIFFICULTIES |ACHIEVEMENT |PERFORMANCE |PREDICTOR |2ND-GRADE |COGNITION |SKILLS,Mathematical cognition|Language|Language minority learners|Mathematics difficulty|Mathematical development|Longitudinal,2013,"Psychology, Developmental|Psychology, Experimental",13,The language of mathematics: Investigating the ways language counts for children's mathematical development,WOS:000320093000001,1,115,23563157,D:\Users\mginda\Desktop\savedrecs(10).txt,"Vukovic RK, 2013, V115, P227, DOI 10.1016/j.jecp.2013.02.002"
"Crossley, S|McNamara, D","Crossley, Scott A.|McNamara, Danielle S.",171,,1094-3501,LANGUAGE LEARNING & TECHNOLOGY,PROFICIENCY |COHERENCE |SPEECH |KNOWLEDGE |COHESION |IMAGES |MODEL |RATER,Language Testing|Speaking Proficiency|Computational Linguistics|Corpus Linguistics|Machine Learning,2013,Education & Educational Research|Linguistics,2,APPLICATIONS OF TEXT ANALYSIS TOOLS FOR SPOKEN RESPONSE GRADING,WOS:000319255400012,1,17,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Crossley S, 2013, V17, P171"
"Rizzi, L","Rizzi, Luigi",169,10.1016/j.lingua.2012.12.002,0024-3841,LINGUA,SENTENCE COMPLEXITY |RELATIVE CLAUSES |COMPREHENSION |AGREEMENT,Syntax|Acquisition|Locality|Intervention|Relativized minimality|Weak islands,2013,Linguistics|Language & Linguistics,6,Locality,WOS:000318744100010,1,130,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Rizzi L, 2013, V130, P169, DOI 10.1016/j.lingua.2012.12.002"
"Endres, D|Meirovitch, Y|Flash, T|Giese, MA","Endres, Dominik|Meirovitch, Yeron|Flash, Tamar|Giese, Martin A.",,10.3389/fncom.2013.00068,1662-5188,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,SPEED-CURVATURE RELATIONS |EQUI-AFFINE SPEED |ARM MOVEMENTS |DRAWING MOVEMENTS |POWER LAWS |TRAJECTORIES |GEOMETRY |SEGMENTATION |COORDINATION |PERCEPTION,motor primitives|two-thirds power law|differential invariants|Bayesian binning|sign language|minimum jerk model,2013,Mathematical & Computational Biology|Neurosciences,1,Segmenting sign language into motor primitives with Bayesian binning,WOS:000319734200001,1,7,23750135,D:\Users\mginda\Desktop\savedrecs(10).txt,"Endres D, 2013, V7, DOI 10.3389/fncom.2013.00068"
